Family ID,Family Size,Proposed Family Label,Label Basis,Label Confidence,Guidance Status,Root Candidates,Dominant Sampradayas,Dominant Spiritual Regions,Rationale
FAM-001,16,Gaudiya Math,Human-approved override,High,,"Sri Balak Siddha Mahatma Srila Yadav Chandra Rai (Balak Sadhu) of Jagannath Bari, Navadwip; Sri Jagannath Das Babaji of Navadwip Dham, West Bengal","Gaudiya Vaishnava (12), Brahma-Madhva-Gaudiya Sampradaya??? (1), Nityananda Sampradaya (1)","Coastal Odisha (8), Gaudiya Vaishnava Heartland (6), Braj Mandal (1)",Explicit family label provided by archivalist.
FAM-002,12,Sri Jagad Bandhu Sundar Family,Senior member - ambiguous roots,Medium,Needs Guidance,Sri Jagad Bandhu Sundar of Faridpur; Sri Sankaranya Puri Goswami of Navadwip ( Sri Yogendranath Goswami ),"Gaudiya Vaishnava (5), Nityananda Sampradaya (1)","South Asia (4), Gaudiya Vaishnava Heartland (3), Braj Mandal (2)",Multiple senior/root candidates are present: Sri Jagad Bandhu Sundar; Sri Sankaranya Puri Goswami. Proposed label uses the earliest/highest-connectivity candidate.
FAM-003,11,Dattatreya Incarnations & Lineages,Human-approved override,High,,"Sri Narasimha Saraswati of Narasimha Wadi, Kolhapur, Maharashtra; Dattatreya (Girnar); Swami Samarth Maharaj of Akkalkot; Sri Narasimha Saraswati of Lad-Karanja, Washim, Vidarbha, Maharashtra",,"Datta Sampradaya Belt (5), Girnar & Nath Tradition (1), Maharashtra General (1)",Explicit family label provided by archivalist.
FAM-004,11,Mahavatar Kriya Babaji Family,Senior member,High,,Mahavatar Kriya Babaji,"Kriya Yoga (7), Gaudiya Vaishnava (1), Ramanandi Sampradaya (1)","Gaudiya Vaishnava Heartland (3), Global (3), Braj Mandal (1)",Proposed from the clearest senior/root member: Mahavatar Kriya Babaji.
FAM-005,9,Sri Chaitanya Mahaprabhu Family,Senior member - ambiguous roots,Medium,Needs Guidance,Sri Chaitanya Mahaprabhu of Puri/ Navadwip; Sri Nityananda Prabhu of Navadwip; Sri Vishnupriya Devi of Navadwip,Gaudiya Vaishnava (3),"Braj Mandal (4), Gaudiya Vaishnava Heartland (3), Jagannath-Puri Tradition (2)",Multiple senior/root candidates are present: Sri Chaitanya Mahaprabhu; Sri Nityananda Prabhu; Sri Vishnupriya Devi. Proposed label uses the earliest/highest-connectivity candidate.
FAM-006,8,Sri Vijay Krishna Goswami Family,Senior member - ambiguous roots,Medium,Needs Guidance,Sri Vijay Krishna Goswami of Puri; Sri Mata Saroj Bala Devi of Varanasi,Gaudiya Vaishnava (1),"Jagannath-Puri Tradition (6), Braj Mandal (2), Kashi Region (2)",Multiple senior/root candidates are present: Sri Mata Saroj Bala Devi; Sri Vijay Krishna Goswami. Proposed label uses the earliest/highest-connectivity candidate.
FAM-007,8,Sai Family,Human-approved anchor override,High,,Sri Sathya Sai Baba of Puttaparthi; Sri Bala Sai Baba of Kurnool; Sri Shirdi Sai Baba of Shirdi; Sri Hazrat Babajan of Pune,Advaita Vedanta (1),"Maharashtra General (3), Modern Guru Centers (2), Andhra Pradesh General (1)",Explicit family label provided by archivalist and matched by anchor record ID.
FAM-008,5,Sri (Ishwar) Tota Puri Baba Family,Senior member,High,,Sri (Ishwar) Tota Puri Baba of Punjap/ or Puri/ - wandering monk,"Gaudiya Vaishnava (1), Satnami Puri Sampradaya (1)","Kolkata Spiritual Sphere (3), Jagannath-Puri Tradition (2)",Proposed from the clearest senior/root member: Sri (Ishwar) Tota Puri Baba of Punjap/ or Puri/ - wandering monk.
FAM-009,5,Sri Swami Shivananda Saraswati Family,Senior member,High,,Sri Swami Shivananda Saraswati of Rishikesh,Shivananda (1),"Rishikesh-Haridwar Spiritual Corridor (2), Jagannath-Puri Tradition (1), Kerala General (1)",Proposed from the clearest senior/root member: Sri Swami Shivananda Saraswati of Rishikesh.
FAM-010,5,Sri Anandamoyi Ma Family,Senior member,High,,Sri Anandamoyi Ma of Bangladesh,,"South Asia (2), Gaudiya Vaishnava Heartland (1), Rishikesh-Haridwar Spiritual Corridor (1)",Proposed from the clearest senior/root member: Sri Anandamoyi Ma of Bangladesh.
FAM-011,5,Sri Ramana Maharishi Family,Senior member - ambiguous roots,Medium,Needs Guidance,Sri Ramana Maharishi of Arunachala; Sri Ramana Maharishi of Arunachala,Ramana Maharshi (2),"Andhra Pradesh General (2), Shaiva Siddhanta Heartland (2), Coastal Andhra (1)",Multiple senior/root candidates are present: Sri Ramana Maharishi; Sri Ramana Maharishi. Proposed label uses the earliest/highest-connectivity candidate.
FAM-012,5,Sri Samarth Ramdas Family,Senior member,High,,"Sri Samarth Ramdas of Sajjangad, Maharashtra",,"Modern Guru Centers (3), Datta Sampradaya Belt (1), Maharashtra General (1)","Proposed from the clearest senior/root member: Sri Samarth Ramdas of Sajjangad, Maharashtra."
FAM-013,4,Sri Bhagavan Nityananda Family,Senior member,High,,Sri Bhagavan Nityananda of Ganeshpuri,,Maharashtra General (4),Proposed from the clearest senior/root member: Sri Bhagavan Nityananda of Ganeshpuri.
FAM-014,4,Sri Janardhana Giri (Swami) Maharaj Family,Senior member,High,,Sri Janardhana Giri (Swami) Maharaj of Ellora,,Maharashtra General (3),Proposed from the clearest senior/root member: Sri Janardhana Giri (Swami) Maharaj of Ellora.
FAM-015,3,Sri Sudama Dasji Maharaj Family,Senior member,High,,Sri Sudama Dasji Maharaj,Ramanandi Sampradaya (1),Braj Mandal (2),Proposed from the clearest senior/root member: Sri Sudama Dasji Maharaj.
FAM-016,3,Nange Baba Family,Senior member - ambiguous roots,Medium,Needs Guidance,Nange Baba; Vidurdas Maharaj (Vishwanath Baba),,Nath & Shaiva Maharashtra (1),Multiple senior/root candidates are present: Nange Baba; Vidurdas Maharaj. Proposed label uses the earliest/highest-connectivity candidate.
FAM-017,3,Sri DevRaha Baba Family,Senior member,High,,Sri DevRaha Baba of Vrindavan,,"Bihar General (1), Braj Mandal (1)",Proposed from the clearest senior/root member: Sri DevRaha Baba of Vrindavan.
FAM-018,3,Sri Haidakhan Babaji Family,Senior member,High,,"Sri Haidakhan Babaji of Haidakhan, Uttarakhand",,"Braj Mandal (1), Kumaon Saints (1)","Proposed from the clearest senior/root member: Sri Haidakhan Babaji of Haidakhan, Uttarakhand."
FAM-019,3,Sri Tukaram Maharaj Family,Senior member,High,,"Sri Tukaram Maharaj of Dehru, Pune",Vaikari (1),"Modern Guru Centers (2), South Asia (1), Varkari Heartland (1)","Proposed from the clearest senior/root member: Sri Tukaram Maharaj of Dehru, Pune."
FAM-020,3,Sri Bhagavan Sri Swaminarayan Family,Senior member,High,,Sri Bhagavan Sri Swaminarayan of Gujarat (Sri Sahajanand Swami - Neelkanth Varuni),Swaminarayan (3),"Gujarat General (2), Swaminarayan & Modern Gujarat (1)",Proposed from the clearest senior/root member: Sri Bhagavan Sri Swaminarayan of Gujarat (Sri Sahajanand Swami - Neelkanth Varuni).
FAM-021,3,Sri Gajanan Maharaj Family,Senior member,High,,Sri Gajanan Maharaj of Shegaon,,Gajanan Maharaj & Vidarbha Saints (2),Proposed from the clearest senior/root member: Sri Gajanan Maharaj of Shegaon.
FAM-022,3,Sri Swami Chinmayananda Family,Senior member,High,,"Sri Swami Chinmayananda of Tapovan Ashram, Dharamshala",,"Nath & Shaiva Maharashtra (1), Rishikesh-Haridwar Spiritual Corridor (1)","Proposed from the clearest senior/root member: Sri Swami Chinmayananda of Tapovan Ashram, Dharamshala."
FAM-023,3,Sri Sri Bhaktivedanta Baman Goswami Maharaj Family,Senior member - ambiguous roots,Medium,Needs Guidance,"Sri Sri Bhaktivedanta Baman Goswami Maharaj of Navadwip ,; Sri Srimad Kishorikishorananda Das Babaji Maharaj Goswami of Navadwip (Tinkodi Baba)",Nityananda Sampradaya (1),"Gaudiya Vaishnava Heartland (2), Braj Mandal (1)",Multiple senior/root candidates are present: Sri Sri Bhaktivedanta Baman Goswami Maharaj; Sri Srimad Kishorikishorananda Das Babaji Maharaj Goswami. Proposed label uses the earliest/highest-connectivity candidate.
FAM-024,3,Sri Tajuddin Baba Family,Senior member,High,,Sri Tajuddin Baba (Auliya) of Nagpur,,Gajanan Maharaj & Vidarbha Saints (3),Proposed from the clearest senior/root member: Sri Tajuddin Baba (Auliya) of Nagpur.
FAM-025,3,Juna Akhara,Sampradaya-contained,High,,"Sri Mahantji 108 Shivgiriji Maharaj of Neelgiri Parvat, Triyambakeshwar, Nashik, Madhya Pradesh",Juna Akhara (3),"Nath & Shaiva Maharashtra (2), Madhya Pradesh General (1)",Juna Akhara appears concentrated in FAM-025 and covers 3/3 family members.
FAM-026,3,Baul,Sampradaya-contained,High,,"Sri Shashanko Goshai of Shingar Village of Murshidabad District, West Bengal; Sri Ravi Gopalam Nair of Nedumangad, Trivandrum, Kerala",Baul (3),"West Bengal General (2), Kerala General (1), Southern Kerala (1)",Baul appears concentrated in FAM-026 and covers 3/3 family members.
FAM-027,2,Sri Umed Giri Maharaj Family,Senior member,High,,"Sri Umed Giri Maharaj of Muchukunda Goofa, Girnar",,Girnar & Nath Tradition (2),"Proposed from the clearest senior/root member: Sri Umed Giri Maharaj of Muchukunda Goofa, Girnar."
FAM-028,2,Sri Digambar Manmast Mahesh Giri Maharaj Family,Senior member,High,,Sri Digambar Manmast Mahesh Giri Maharaj of Girnar,,Girnar & Nath Tradition (2),Proposed from the clearest senior/root member: Sri Digambar Manmast Mahesh Giri Maharaj of Girnar.
FAM-029,2,Mahant Sri Sri Sri 108 Sri Ramcharan Das Tyagiji Maharaj Family,Senior member,High,,Mahant Sri Sri Sri 108 Sri Ramcharan Das Tyagiji Maharaj of Varanasi,Ramanandi Sampradaya (1),"Kashi Region (1), Rajputana Spiritual Centers (1)",Proposed from the clearest senior/root member: Mahant Sri Sri Sri 108 Sri Ramcharan Das Tyagiji Maharaj of Varanasi.
FAM-030,2,Paramahamsa Sri Pundalik Baba Family,Senior member,High,,Paramahamsa Sri Pundalik Baba of Murtyjapur,,"Gajanan Maharaj & Vidarbha Saints (1), Maharashtra General (1)",Proposed from the clearest senior/root member: Paramahamsa Sri Pundalik Baba of Murtyjapur.
FAM-031,2,Sri Bamakhepa Baba Family,Senior member,High,,Sri Bamakhepa Baba of Tarapith,"Shankaracharya Sampradaya (1), Tantra,Jnana (1)","Jagannath-Puri Tradition (1), Kolkata Spiritual Sphere (1), Shakta Bengal (1)",Proposed from the clearest senior/root member: Sri Bamakhepa Baba of Tarapith.
FAM-032,2,Sadhu T.L. Vaswani Family,Senior member,High,,Sadhu T.L. Vaswani,,Modern Guru Centers (2),Proposed from the clearest senior/root member: Sadhu T.L. Vaswani.
FAM-033,2,Sant Gyaneshwar Singh Family,Senior member,High,,"Sant Gyaneshwar Singh of Amritsar, Punjab",,Sikh Heartland (2),"Proposed from the clearest senior/root member: Sant Gyaneshwar Singh of Amritsar, Punjab."
FAM-034,2,Sant Sri Bhoja Bhagat Family,Senior member,High,,"Sant Sri Bhoja Bhagat of Amreli, Gujarat",,"Gujarat General (1), Swaminarayan & Modern Gujarat (1)","Proposed from the clearest senior/root member: Sant Sri Bhoja Bhagat of Amreli, Gujarat."
FAM-035,2,Sri Sri 1008 Sri Anuvrat Swami Ji Family,Senior member,High,,"Sri Sri 1008 Sri Anuvrat Swami Ji of Behind Gorakhnath Mandir, Pushkar, Rajasthan",,Pushkar Tradition (2),"Proposed from the clearest senior/root member: Sri Sri 1008 Sri Anuvrat Swami Ji of Behind Gorakhnath Mandir, Pushkar, Rajasthan."
FAM-036,2,Sri Vishudhanand Ji Saraswati Family,Senior member,High,,"Sri Vishudhanand Ji Saraswati (Khir Baba) of Kangra, Himachal",,"Himachal Pradesh General (1), Kangra Shakti Region (1)","Proposed from the clearest senior/root member: Sri Vishudhanand Ji Saraswati (Khir Baba) of Kangra, Himachal."
FAM-037,2,Sri Amritananda Natha Saraswati Family,Senior member,High,,Sri Amritananda Natha Saraswati of Devipuram,,"Kolkata Spiritual Sphere (1), Modern Saints (1)",Proposed from the clearest senior/root member: Sri Amritananda Natha Saraswati of Devipuram.
FAM-038,2,Sri Avadhuta Polai Tata Swami Venkatapalem Family,Senior member,High,,Sri Avadhuta Polai Tata Swami Venkatapalem,,"Andhra Pradesh General (1), Datta & Advaita Belt (1)",Proposed from the clearest senior/root member: Sri Avadhuta Polai Tata Swami Venkatapalem.
FAM-039,2,Sri Satyendranath Swami Family,Senior member,High,,"Sri Satyendranath Swami of Nikamwadi village, Kolhapur",,Datta Sampradaya Belt (2),"Proposed from the clearest senior/root member: Sri Satyendranath Swami of Nikamwadi village, Kolhapur."
FAM-040,2,Sri Radha Babaji Family,Senior member,High,,Sri Radha Babaji of Gorakpur,,Gorakh Tradition (2),Proposed from the clearest senior/root member: Sri Radha Babaji of Gorakpur.
FAM-041,2,Sri Chidambar Mahaswami Dixit Family,Senior member,High,,Sri Chidambar Mahaswami Dixit,,,Proposed from the clearest senior/root member: Sri Chidambar Mahaswami Dixit.
FAM-042,2,Sri Dadaji Dilip Kumar Roy Family,Senior member,High,,Sri Dadaji Dilip Kumar Roy of Pune,,Modern Guru Centers (2),Proposed from the clearest senior/root member: Sri Dadaji Dilip Kumar Roy of Pune.
FAM-043,2,Sri Dadu Dayal ji Family,Senior member,High,,"Sri Dadu Dayal ji of Naraina, Rajasthan",,"Gujarat General (1), Rajasthan General (1)","Proposed from the clearest senior/root member: Sri Dadu Dayal ji of Naraina, Rajasthan."
