Saint ID,Saint,Primary Museum Section,Alternative Museum Sections,Museum Section Tier,Museum Section Confidence,Museum Section Rationale,Museum Section Internal Placement Note,Family ID,Curatorial Family,Family Size,Spiritual regions,Sampradaya,Normalized places
recLkf0RWHaSCVa97,Avadhoota Sri Sri Sri Maitraya of Andhra Pradesh,Andhra Avadhuta & Datta-Advaita Lineages,Needs Research,Tertiary,Medium,"Spiritual region maps to Andhra Avadhuta & Datta-Advaita Lineages. Tier proposed as Tertiary because placement is contextual, inferred, or lower-confidence.",,,,,Andhra Pradesh General,(No Sampradaya),"Andhra Pradesh, India"
recFtt4S11S5A4cQ9,"Pujya Sri Premanandagiri Mataji of Kesavadasupalem, Konaseema Ambedkar District, Andhra Pradesh ",Andhra Avadhuta & Datta-Advaita Lineages,Needs Research,Tertiary,Medium,"Spiritual region maps to Andhra Avadhuta & Datta-Advaita Lineages. Tier proposed as Tertiary because placement is contextual, inferred, or lower-confidence.",,,,,Andhra Pradesh General,(No Sampradaya),"Kesavadasupalem, Konaseema Ambedkar District, Andhra Pradesh, India"
rec4bgn1KKkTDDEkG,Sri Amritananda Natha Saraswati of Devipuram,Andhra Avadhuta & Datta-Advaita Lineages,,Secondary,High,Family override from FAM-037 (Sri Amritananda Natha Saraswati Family); family placement takes priority over geography. Explicit archivalist movement override: Sri Amritananda Natha Saraswati of Devipuram belongs only in the Andhra section. Section overridden to Andhra Avadhuta & Datta-Advaita Lineages. Tier proposed as Secondary because the record is a close family/lineage member or direct section fit.,Explicit archivalist movement override: Sri Amritananda Natha Saraswati of Devipuram belongs only in the Andhra section.,FAM-037,,2,Modern Saints,(No Sampradaya),"Devipuram, Visakhapatnam, Andhra Pradesh, India"
recR5Kd2cgPHUzAJy,"Sri Avadhoota Amma of Chivatam, Andhra Pradesh",Andhra Avadhuta & Datta-Advaita Lineages,Needs Research,Tertiary,Medium,"Spiritual region maps to Andhra Avadhuta & Datta-Advaita Lineages. Tier proposed as Tertiary because placement is contextual, inferred, or lower-confidence.",,,,,Andhra Pradesh General,(No Sampradaya),"Chivatam, Andhra Pradesh, India"
rec34uMaOTX1s1j99,"Sri Avadhoota Mahalakshmi Amma of Guntur, Andhra Pradesh",Andhra Avadhuta & Datta-Advaita Lineages,Needs Research,Tertiary,Medium,"Spiritual region maps to Andhra Avadhuta & Datta-Advaita Lineages. Tier proposed as Tertiary because placement is contextual, inferred, or lower-confidence.",,,,,Coastal Andhra,(No Sampradaya),"Guntur, Andhra Pradesh, India"
recTeQpFQWebWkFQu,Sri Avadhoota Sri Agni Baba Garu of Andhra Pradesh,Andhra Avadhuta & Datta-Advaita Lineages,Needs Research,Tertiary,Medium,"Spiritual region maps to Andhra Avadhuta & Datta-Advaita Lineages. Tier proposed as Tertiary because placement is contextual, inferred, or lower-confidence.",,,,,Andhra Pradesh General,(No Sampradaya),"Andhra Pradesh, India"
recwFZ9fwHnPNyKdd,"Sri Avadhoota Sri Padhan Bhajaru Ramaswami Baba of Guntur, Andhra Pradesh ",Andhra Avadhuta & Datta-Advaita Lineages,Needs Research,Tertiary,Medium,"Spiritual region maps to Andhra Avadhuta & Datta-Advaita Lineages. Tier proposed as Tertiary because placement is contextual, inferred, or lower-confidence.",,,,,Coastal Andhra,(No Sampradaya),"Guntur, Andhra Pradesh, India"
recp21sXIcrV1BlgN,"Sri Avadhoota Sudheendra Babu Garu of Undrajavaram, Andhra Pradesh",Andhra Avadhuta & Datta-Advaita Lineages,Needs Research,Tertiary,Medium,"Spiritual region maps to Andhra Avadhuta & Datta-Advaita Lineages. Tier proposed as Tertiary because placement is contextual, inferred, or lower-confidence.",,,,,Andhra Pradesh General,(No Sampradaya),"Undrajavaram, Andhra Pradesh, India"
rec0Yg75hdKUasqV8,"Sri Balayogitalli Devudamma Garu of Indupalli, Andhra Pradesh",Andhra Avadhuta & Datta-Advaita Lineages,Needs Research,Tertiary,Medium,"Spiritual region maps to Andhra Avadhuta & Datta-Advaita Lineages. Tier proposed as Tertiary because placement is contextual, inferred, or lower-confidence.",,,,,Andhra Pradesh General,(No Sampradaya),Andhra Pradesh
receEH3QCEZ6JgXPr,"Sri Bupathiraju Venkata Lakshmi Narasimha Raju Garu (Sri Nanna Garu) of ??, Andhra Pradesh",Andhra Avadhuta & Datta-Advaita Lineages,Needs Research,Tertiary,Medium,"Spiritual region maps to Andhra Avadhuta & Datta-Advaita Lineages. Tier proposed as Tertiary because placement is contextual, inferred, or lower-confidence.",,,,,Andhra Pradesh General,(No Sampradaya),Andhra Pradesh
